Luther Strange
Mārtiņš Šics
Edvīns Šnore
Juris Šulcs
Ivars Zariņš
Adamovičs Aldis
Arvils Ašeradens
Augulis Uldis
Bergmanis Raimonds
Aldis Blumbergs
Bondars Mārtiņš
Bordāns Jānis
Budriķis Uldis
Boriss Cilevičs
Anda Čakša
Daudze Gundars
Dombrovskis Vjačeslavs
Eglītis Gatis
Feldmans Krišjānis
Aldis Gobzems
Goldberga Inga
Golubeva Marija
Ilze Indriksone
Jurašs Juris
Armands Krauze
Kučinskis Māris
Linkaits Tālis
Anita Muižniece
Artis Pabriks
Daniels Pavļuts
Artūrs Plešs Toms
Juris Pūce
Dana Reizniece-Ozola
Inguna Rībena
Riekstiņš Sandis
Edgars Rinkēvičs
Dace Rukšāne-Ščipčinska
Andris Skride
Mārtiņš Staķis
Didzis Šmits
Anda Tērauda Vita
Inese Voika
Atis Zakatistovs
Reinis Znotiņš
Normunds Žunna
Cruchten Yves
Laurent Zeimet
Angel Marc
Cécile Hemmen
Adam Claude
Loschetter Viviane
Negri Roger
Serge Wilmes
Marc Spautz
Fayot Franz
Alex Bodry
Laurent Mosar
Halsdorf Jean-Marie
Claude Wiseler
Michel Wolter
Martine Mergen
Baum Gilles
Andrich-Duval Sylvie
Elvinger Joëlle
Engel Georges
Hahn Max
Delles Lex
Arendt Nancy
Claude Lamberty
Adehm Diane
Gilles Roth
Gloden Léon
Lies Marc
Bartolomeo Di Mars
Berger Eugène
André Bauler
Bofferding Taina
Claude Haagen
Anzia Gérard
Hansen Martine
Françoise Hetto-Gaasch
Reding Roy
Beissel Simone
Biancalana Dan
Benoy François
Charles Margue
Sam Tanson
Georges Mischo
Modert Octavie
Reding Viviane
David Wagner
Clement Sven
Goergen Marc
Acquaroli Francesco
Acunzo Nicola
Adelizzi Cosimo
Aiello Davide
Alemanno Maria Soave
Alessandro Amitrano
Andreuzza Giorgia
Angelucci Antonio
Angiola Nunzio
Annibali Lucia
Anzaldi Michele
Aprea Valentina
Aresta Giovanni Luca
Anna Ascani
Ascari Stefania
Azzolina Lucia
Bagnasco Roberto
Baldelli Simone
Baldino Vittoria
Baratto Raffaele
Anna Baroni Lisa
Baroni Enrico Massimo
Bartolozzi Giusi
Battelli Sergio
Alessandro Battilocchio
Alfredo Bazoli
Alex Bazzaro
Bellucci Maria Teresa
Benamati Gianluca
Bendinelli Davide
Benedetti Silvia
Benigni Stefano
Berardini Fabio
Bergamini Deborah
Berlinghieri Marina
Bersani Luigi Pier
Berti Francesco
Bianchi Luigi Matteo
Biancofiore Michaela
Bignami Galeazzo
Billi Simone
Anna Bilotti
Bitonci Massimo
Boccia Francesco
Boldrini Laura
Alfonso Bonafede
Bonomo Francesca
Bordo Michele
Bordonali Simona
Alejandro Borghese Mario
Borghi Claudio
Borghi Enrico
Boschi Elena Maria
Braga Chiara
Brambilla Michela Vittoria
Brescia Giuseppe
Brunetta Renato
Bossio Bruno Vincenza
Buffagni Stefano
Buompane Giuseppe
Businarolo Francesca
Alessio Butti
Cabras Pino
Caiata Salvatore
Annagrazia Calabria
Campana Micaela
Azzurra Cancelleri Maria Pia
Cannizzaro Francesco
Cantini Laura
Cantone Carla
Caon Roberto
Caparvi Virginio
Capitanio Massimiliano
Cappellacci Ugo
Carabetta Luca
Alessandra Carbonaro
Care' Nicola
Carelli Emilio
Carfagna Maria Rosaria
Carinelli Paola
Carnevali Elena
Carrara Maurizio
Casino Michele
Andrea Caso
Cassese Gianpaolo
Castelli Laura
Alessandro Cattaneo
Cavandoli Laura
Ceccanti Stefano
Cecchetti Fabrizio
Andrea Cecconi
Cenni Susanna
Chiazzese Giuseppe
Ciaburro Monica
Cillis Luciano
Ciprini Tiziana
Cirielli Edmondo
Andrea Colletti
Claudio Cominardi
Conte Federico
Corda Emanuela
Corneli Valentina
Costanzo Jessica
Crippa Davide
Cristina Mirella
Crosetto Guido
Curro' Giovanni
Dadone Fabiana
Daga Federica
Camillo D'Alessandro
Dall'Osso Matteo
D'Ambrosio Giuseppe
Celeste D'Arrando
D'Attis Mauro
Carlo De Luca
Carlo De Sabrina
De Filippo Vito
Deiana Paola
Deidda Salvatore
Barba Del Mauro
Daniele Del Grosso
Andrea Delle Delmastro Vedove
Antonio Del Monaco
De Diego Lorenzis
Claudia Del Emanuela Re
Delrio Graziano
Del Margherita Sesto
De Luca Piero
Andrea De Maria
De Guido Martini
De Menech Roger
De Micheli Paola
D'Eramo Luigi
Dieni Federica
Di Giorgi Maria Rosa
Di Luigi Maio
Di Maio Marco
D'Inca' Federico
D'Ippolito Giuseppe
Di Iolanda Stasio
Di Manlio Stefano
Donno Leonardo
Donzelli Giovanni
Claudio Durigon
D'Uva Francesco
Epifani Ettore Guglielmo
Alessandra Ermellino
David Ermini
Fantinati Mattia
Faro Marialuisa
Fassina Stefano
Fassino Piero
Carlo Fatuzzo
Fedriga Massimiliano
Ferraioli Marzia
Ferraresi Vittorio
Cosimo Ferri Maria
Ferro Wanda
Emanuele Fiano
Fico Roberto
Carlo Fidanza
Fioramonti Lorenzo
Benedetta Fiorini
Fitzgerald Fucsia Nissoli
Flati Francesca
Fontana Gregorio
Fontana Ilaria
Fontana Lorenzo
Forciniti Francesco
Federico Fornaro
Foscolo Sara
Foti Tommaso
Fraccaro Riccardo
Fragomeli Gian Mario
Dario Franceschini
Frassinetti Paola
Frassini Rebecca
Flora Frate
Fratoianni Nicola
Fregolent Silvia
Frusone Luca
Fugatti Maurizio
Domenico Furgiuele
Alessandro Fusacchia
Chiara Gadda Maria
Chiara Gagnarli
Davide Galantino
Francesca Galizia
Filippo Gallinella
Gallo Luigi
Garavaglia Massimo
Davide Gariglio
Flavio Gastaldi
Gava Vannia
Gelmini Mariastella
Gemmato Marcello
Gentiloni Paolo Silveri
Andrea Giaccone
Giachetti Roberto
Antonello Giacomelli
Conny Giordano
Giancarlo Giorgetti
Andrea Giorgis
Giuliodori Paolo
Golinelli Guglielmo
Grande Marta
Chiara Gribaudo
Giulia Grillo
Grimaldi Nicola
Grimoldi Paolo
Carmela Grippa
Guerini Lorenzo
Guidesi Guido
Alberto Gusmeroli Luigi
Giancarlo Iezzi Igor
Antonella Incerti
Cristian Invernizzi
Iovino Luigi
Giuseppe L'Abbate
Labriola Vincenza
Lacarra Marco
Francesca La Marca
Lapia Mara
Giorgia Latini
Arianna Lazzarini
Lepri Stefano
Gianfranco Librandi
Caterina Licatini
Liuzzi Mirella
Alessandra Locatelli
Lolini Mario
Fausto Longo
Lorefice Marialucia
Beatrice Lorenzin
Gabriele Lorenzoni
Alberto Losacco
Lotti Luca
Giorgio Lovecchio
Lucaselli Ylenja
Elena Lucchini
Lupi Maurizio
Elena Maccanti
Anna Macina
Anna Madia Maria
Maggioni Marco
Magi Riccardo
Maglione Pasquale
Gavino Manca
Claudio Mancini
Andrea Mandelli
Franco Manzato
Manzo Teresa
Generoso Maraia
Luigi Marattin
Augusto Marchetti Riccardo
Felice Mariani
Marco Marin
Marrocco Patrizia
Martina Maurizio
Antonio Martino
Maria Marzana
Matteo Mauri
Alessandro Melicchio
Giorgia Meloni
Carmelo Miceli
Micillo Salvatore
Gennaro Migliore
Lorena Milanato
Antonino Minardo
Carmelo Massimo Misiti
Molinari Riccardo
Federico Mollicone
Molteni Nicola
Augusta Montaruli
Mattia Mor
Alessia Morani
Morassut Roberto
Moretto Sara
Mario Morgoni
Jacopo Morrone
Mugnai Stefano
Giorgio Mule'
Andrea Mura
Mura Romina
Elena Murelli
Muroni Rossella
Iolanda Nanni
Napoli Osvaldo
Martina Nardi
Navarra Pietro
Dalila Nesci
Nevi Raffaele
Luciano Nobili
Lisa Noja
Novelli Roberto
Giuseppina Occhionero
Occhiuto Roberto
Olgiati Riccardo
Matteo Orfini
Andrea Orlando
Anna Laura Orrico
Andrea Orsini
Marco Osnato
Carlo Padoan Pietro
Alessandro Pagano
Pagano Ubaldo
Paita Raffaella
Erasmo Palazzotto
Maria Pallini
Antonio Palmieri
Palmisano Valentina
Massimiliano Panizzut
Paolo Parentela
Parolo Ugo
Luca Pastorino
Cristina Patelli
Laura Maria Paxia
Claudio Pedrazzini
Pella Roberto
Nicola Pellicani
Antonio Pentangelo
Germano Guido Pettarin
Pezzopane Stefania
Carlo Piastra
Guglielmo Picchi
Flavia Nardelli Piccoli
Giuditta Pini
Pietro Pittalis
Catia Polidori
Polverini Renata
Claudia Porchietto
Prestigiacomo Stefania
Patrizia Prestipino
Emanuele Prisco
Nicola Provenza
Lia Procopio Quartapelle
Fausto Raciti
Raduzzi Raphael
Angela Raffa
Fabio Rampelli
Laura Ravetto
Alberto Ribolla
Riccardo Ricciardi
Elisabetta Ripani
Edoardo Rixi
Rizzetto Walter
Gianluca Rizzo
Marco Rizzone
Luca Nervo Rizzo
Cristian Romaniello
Andrea Romano
Nicolo' Paolo Romano
Ettore Rosato
Gianluca Rospi
Cristina Rossello
Andrea Rossi
Michela Rostan
Gianfranco Rotondi
Alessia Rotta
Daniela Ruffino
Andrea Ruggieri
Anna Francesca Ruggiero
Carla Ruocco
Paolo Russo
Eugenio Saitta
Angela Salafia
Barbara Saltamartini
Jole Santelli
Francesco Sapia
Carlo Sarro
Giulia Sarti
Rossano Sasso
Elvira Savino
Sandra Savino
Emanuele Scagliusi
Ivan Scalfarotto
Lucia Scanu
Angela Schiro'
Francesco Scoma
Enrica Segneri
Debora Serracchiani
Sgarbi Vittorio
Paolo Siani
Carlo Sibilia
Cosimo Sibilia
Giorgio Silli
Francesco Silvestri
Rachele Silvestri
Marco Silvestroni
Matilde Siracusano
Michele Sodano
Alessandro Sorte
Diego Sozzani
Edera Maria Spadoni
Maria Spena
Roberto Speranza
Arianna Spessotto
Luca Squeri
Simona Suriano
Luca Sut
Bruno Tabacci
Annaelsa Tartaglione
Antonio Tasso
Anna Rita Tateo
Guia Termini
Claudia Maria Terzi
Patrizia Terzoni
Paolo Tiramani
Gabriele Toccafondi
Angelo Tofalo
Maura Tomasi
Renzo Tondo
Gianni Tonelli
Paolo Trancassini
Raffaele Trano
Roberto Traversi
Elisa Tripodi
Maria Tripodi
Giorgio Trizzino
Francesca Troiano
Riccardo Tucci
Manuel Tuzi
Massimo Ungaro
Gianluca Vacca
Simone Valente
Andrea Vallascas
Carolina Maria Varchi
Adriano Varrica
Franco Vazio
Verini Walter
Giuseppina Versace
Giovanni Vianello
Stefano Vignaroli
Villani Virginia
Alessio Mattia Villarosa
Gianluca Vinci
Antonio Viscomi
Catello Vitiello
Elio Vito
Gloria Vizzini
Raffaele Volpi
Alessandro Zan
Federica Zanella
Pierantonio Zanettin
Davide Zanichelli
Diego Zardini
Edoardo Ziello
Eugenio Zoffili
Alberto Zolezzi
Björn Gunnarsson Leví
Albertína Elíasdóttir Friðbjörg
Andrés Ingi Jónsson
Arna Sigurbjörnsdóttir Áslaug
Daðason Einar Ásmundur
Bjarkey Gunnarsdóttir Olsen
Benediktsson Bjarni
Guðlaugur Þór Þórðarson
Bragi Gunnar Sveinsson
Halldóra Mogensen
Friðriksson Hanna Katrín
Gunnarsson Helgi Hrafn
Inga Sæland
Gunnarsson Jón
Jón Steindór Valdimarsson
Jón Ólafsson Þór
Jakobsdóttir Katrín
Júlíusson Kristján Þór
Alfreðsdóttir Lilja
Lilja Magnúsdóttir Rafney
Anna Líneik Sævarsdóttir
Magnússon Páll
G. Harðardóttir Oddný
Björn Kárason Óli
Björk Brynjólfsdóttir Rósa
Andersen Sigríður Á.
Davíð Gunnlaugsson Sigmundur
Ingi Jóhannsson Sigurður
Mccarthy Smári
Steinunn Árnadóttir Þóra
Sunna Ævarsdóttir Þórhildur
Svandís Svavarsdóttir
Gunnarsdóttir K. Þorgerður
Vilhjálmur Árnason
Willum Þór Þórsson
Bergþór Ólason
Brynjar Níelsson
Brjánsson Guðjón S.
Gylfadóttir Kolbrún R. Þórdís
Adams Gerry
Aylward Bobby
Bailey Maria
Barrett Sean
Barry Mick
Barrett Boyd Richard
Brady John
Breathnach Declan
Breen Pat
Brophy Colm
Broughan Tommy
Browne James
Bruton Richard
Buckley Pat
Burke Peter
Burton Joan
Byrne Catherine
Byrne Thomas
Cahill Jackie
Calleary Dara
Canney Sean
Cannon Ciaran
Carey Joe
Casey Pat
Cassells Shane
Chambers Lisa
Chambers Jack
Collins Niall
Collins Joan
Catherine Connolly
Coppinger Ruth
Corcoran Kennedy Marcella
Coveney Simon
Barry Cowen
Creed Michael
Crowe Sean
Cullinane David
Curran John
Clare Daly
Daly Jim
D'Arcy Michael W.
Deering Patrick
Doherty Pearse
Doherty Regina
Donnelly Stephen
Donohoe Paschal
Dooley Timmy
Andrew Doyle
Bernard Durkan
Damien English
Alan Farrell
Ferris Martin
Fitzgerald Frances
Fitzmaurice Michael
Fitzpatrick Peter
Charles Flanagan
Fleming Sean
Funchion Kathleen
Cope Gallagher Pat The
Brendan Griffin
Halligan John
Harris Simon
Harty Michael
Haughey Sean
Healy Seamus
Danny Healy Rae
Healy-Rae Michael
Heydon Martin
Brendan Howlin
Heather Humphreys
Kehoe Paul
Billy Kelleher
Alan Kelly
Enda Kenny
Kenny Martin
Gino Kenny
Kyne Seán
John Lahart
James Lawless
Lowry Michael
Macsharry Marc
Josepha Madigan
Catherine Martin
Martin Micheál
Charlie Mcconalogue
Lou Mary Mcdonald
Helen Mcentee
Mcgrath Michael
Mattie Mcgrath
Finian Mcgrath
John Mcguinness
Joe Mchugh
Mcloughlin Tony
Denise Mitchell
Mary Mitchell O'Connor
Boxer Kevin Moran
Aindrias Moynihan
Michael Moynihan
Imelda Munster
Eugene Murphy
Murphy Paul
Eoghan Murphy
Dara Murphy
Catherine Murphy
Margaret Murphy O'Mahony
Denis Naughten
Hildegarde Naughton
Neville Tom
Carol Nolan
Broin Eoin Á
Cuív Éamon Ó
Fearghaál Seán Á
Donnchadh Laoghaire Á
Aengus Snodaigh Á
Darragh O'Brien
Jonathan O'Brien
Jim O'Callaghan
Kate O'Connell
O'Dea Willie
O'Donovan Patrick
Fergus O'Dowd
Kevin O'Keeffe
Fiona O'Loughlin
Louise O'Reilly
Frank O'Rourke
Jan O'Sullivan
Maureen O'Sullivan
Penrose Willie
John Paul Phelan
Pringle Thomas
Maurice Quinlivan
Anne Rabbitte
Michael Ring
Noel Rock
Nathaniel Peter Ross Shane
Eamon Ryan
Brendan Ryan
Eamon Scanlon
Sean Sherlock
Ráisán Shortall
Brendan Smith
Brád Smith
Niamh Smyth
Brian Stanley
David Stanton
Peadar Táibán
Robert Troy
Leo Varadkar
Mick Wallace
Katherine Zappone
Dragasakis Ioannis
Balafas Ioannis
Ioannis Maniatis
Ioannis Vroutsis
Kikilias Vasileios
Tsirkas Vasileios
Theodora Tzakri
Ioannis Tsironis
Efkleidis Tsakalotos
Alexandros Triantafyllidis
Karaoglou Theodoros
Fotiou Theano
Giannakis Stergios
Stavros Theodorakis
Lykoudis Spyridon
Sofia Voultepsi
(Simos) Kedikoglou Symeon
(Sia) Anagnostopoulou Athanasia
Famellos Sokratis
Anastasiadis Savvas
Antonios Samaras
Marios Salmas
Panagiota Vrantza
(Panos) Panagiotis Skourletis
Leventis Vasilis
Konstantineas Petros
Paylos Polakis
Christos Pappas
(Panos) Kammenos Panagiotis
Kefalogianni Olga
Gerovasili Olga
Oikonomou Vasileios
Kerameus Niki
Kaklamanis Nikitas
Nikolaos Xydakis
Kotzias Nikolaos
- Dendias Georgios Nikolaos
Miltiadis Varvitsiotis
Meropi Tzoufi
Georgios Mavrotas
Bolaris Markos
Katsis Marios
Dimitrios Mardas
Georgiadis Marios
(Makis) Mavroudis Voridis
Grigorakos Leonidas
Konstantinos Skandalidis
Dimitrios Kremastinos
- Aikaterini Papakosta Sidiropoulou
Kouroumplis Panagiotis
Konstantinos Koukodimos
Konstantinos Skrekas
Kyriakos Mitsotakis
Bargiotas Konstantinos
Andreas Katsaniotis
Katsafados Konstantinos
Aikaterini Markou
Kalafatis Stavros
Karagkounis Konstantinos
Ioannis Sarakiotis
Ilias Panagiotaros
Ilias Kasidiaris
Achmet Ilchan
Fotilas Iason
Aivatidis Ioannis
Georgios Vagionas
Grigorios Psarianos
Georgios Koumoutsakos
Ioannis Kefalogiannis
Georgios Katrougkalos
Gkioulekas Konstantinos
Gennia Georgia
Gerasimos Giakoumatos
Dimaras Georgios
Akriotis Georgios
Georgios Stathakis
Ioannis Plakiotakis
Foteini Vaki
Fortsakis Theodoros
(Fofi) Foteini Genimata
(Eyi) Eyangelia Karakosta
Evangelos Venizelos
Eleni Zaroulia
Avlonitou Eleni
Elena Kountoura
Eleni Rapti
(Dora) Bakoyannis Theodora
Dimitrios Vettas
Dedes Ioannis
Christos Staikouras
Christos Dimas
Boukoros Christos
Alexios Tsipras
Arvanitidis Georgios
Arampatzi Foteini
Antonios Gregos
Anna Karamanli
Anna-Michelle Asimakopoulou
Andreas Xanthos
Amyras Georgios
- Adonis Georgiadis Spyridon
Andreas Loverdos
Elsa Faucillon
Fabien Roussel
Gabriel Serville
Bello Huguette
Dufrègne Jean-Paul
Jean-Paul Lecoq
Brotherson Moetai
Dharréville Pierre
Jumel Sébastien
Peu Stéphane
Adrien Quatennens
Alexis Corbière
Bastien Lachaud
Bénédicte Taurine
Caroline Fiat
Autain Clémentine
Danièle Obono
Coquerel Éric
François Ruffin
Jean-Hugues Ratenon
Jean-Luc Melenchon
Loïc Prud'Homme
Mathilde Panot
Larive Michel
Muriel Ressiguier
Rubin Sabine
Bernalicis Ugo
Amadou Aude
Aude Bono-Vandorme
Audrey Dufeu Schubert
Aurélien Taché
Aurore Bergé
Ballot Barbara Bessot
Barbara Pompili
Béatrice Piron
Belhaddad Belkhir
Bénédicte Peyrol
Benjamin Dirx
Benoit Potterie
Benoit Simian
Abba Bérangère
Bérangère Couillard
Bertrand Bouyx
Bertrand Sorre
Blandine Brocard
Bourguignon Brigitte
Brigitte Liso
Bonnell Bruno
Bruno Questel
Bruno Studer
Buon Tan
Bureau-Bonnard Carole
Carole Grandjean
Abadie Caroline
Caroline Janvier
Catherine Fabre
Catherine Kamowski
Catherine Osson
Cathy Racon-Bouzon
Cécile Muschotti
Cédric Roussel
Cédric Villani
Célia De Lavergne
Calvez Céline
Charlotte Lecocq
Christelle Dubos
Christine Hennion
Arend Christophe
Blanchet Christophe
Castaner Christophe
Christophe Di Pompeo
Christophe Euzet
Christophe Jerretie
Christophe Lejeune
Claire O'Petit
Claire Pitollat
Coralie Dubost
Corinne Vignon
Adam Damien
Damien Pichereau
Daniel Labaronne
Danièle Hérin
Brulebois Danielle
Bagarry Delphine
Denis Masséglia
Denis Sommer
Baichère Didier
Didier Gac Le
Didier Martin
Dimitri Houbron
Da Dominique Silva
David Dominique
Toutut-Picard Élisabeth
Cariou Émilie
Chalas Émilie
Alauzet Éric
Bothorel Éric
Girardin Éric
Poulliat Éric
Fabien Gouttefarde
Fabien Matras
Colboc Fabienne
Fabrice Le Vigoureux
Fadila Khattabi
Charvier Fannette
Fiona Lazaar
Boudié Florent
Bachelier Florian
André François
De François Rugy
François-Michel Lambert
Dumas Françoise
Barbier Frédéric
Descrozaille Frédéric
Dumas Frédérique
Frédérique Lardet
Frédérique Tuffnell
Attal Gabriel
Bohec Gaël Le
Gendre Gilles Le
Graziella Melchior
Besson-Moreau Grégory
Chiche Guillaume
Gouffier-Cha Guillaume
Guillaume Kasbarian
Guillaume Vuilletet
Gwendal Rouillard
Hélène Zannier
Berville Hervé
Hervé Pellois
Hubert Julien-Laferriere
Hugues Renson
Huguette Tiegna
Isabelle Muller-Quoy
Isabelle Rauch
Dubois Jacqueline
Jacqueline Maquet
Jacques Krabal
Jacques-André Maire
Jacques Marilossian
Jacques Savatier
François Jean Mbaye
Jean Terlier
Djebbari Jean-Baptiste
Jean-Baptiste Moreau
Jean-Bernard Sempastous
Colas-Roy Jean-Charles
Jean-Charles Larsonneur
Jean-Claude Leclabart
Cesarini Jean-François
Eliaou Jean-François
Jean-François Portarrieu
Bridey Jean-Jacques
Jean-Louis Touraine
Fugit Jean-Luc
Jean-Marc Zulesi
Fiévet Jean-Marie
Clément Jean-Michel
Jacques Jean-Michel
Jean-Michel Mis
Cazeneuve Jean-René
Joachim Son-Forget
Giraud Joël
Borowczyk Julien
Avia Laetitia
Laurence Maillart-Méhaignerie
Laurent Pietraszewski
Laurent Saint-Martin
Laurianne Rossi
Adam Lénaïck
Liliana Tanguy
Causse Lionel
Dombreval Loïc
Kervran Loïc
Ludovic Mendes
Manuel Valls
Delatte Marc
Guévenoux Marie
Lebec Marie
Marie Tamarelle-Verhaeghe
Magne Marie-Ange
Marie-Christine Verdier-Jouclas
Marie-Pierre Rixain
Marjolaine Meynier-Millefert
Leguille-Balloy Martine
Martine Wonner
Matthieu Orphelin
Delpon Michel
Lauzzana Michel
Crouzet Michèle
Michèle Peyron
Mickaël Nogal
Clapot Mireille
Mireille Robert
Michel Monica
Iborra Monique
Limon Monique
Mahjoubi Mounir
Laabid Mustapha
Hai Nadia
Moutchou Naïma
Natalia Pouzyreff
Démoulin Nicolas
Dubre-Chirat Nicole
Le Nicole Peih
Nicole Trisse
Givernet Olga
Gregoire Olivia
Damaisin Olivier
Gaillard Olivier
Olivier Serva
Olivier Véran
Pacôme Rupin
Bois Pascal
Boyer Pascale
Fontenel-Personne Pascale
Anato Patrice
Mirallès Patricia
Patrick Vignal
Molac Paul
Forteza Paula
Goulet Perrine
Chalumeau Philippe
Chassaing Philippe
Folliot Philippe
Huppé Philippe
Cabaré Pierre
Henriet Pierre
Person Pierre
Pierre-Alain Raphan
Anglade Pieyre-Alexandre
Ali Ramlati
Gauvain Raphaël
Gérard Raphaël
Rebeyrotte Rémy
Ferrand Richard
Lioger Richard
Kokouendo Rodrigue
Lescure Roland
Grau Romain
Sabine Thillaye
Houlié Sacha
Ahamada Saïd
Cazebonne Samantha
Marsaud Sandra
Josso Sandrine
Feur Le Sandrine
Mörch Sandrine
Cazenove Sébastien
Nadot Sébastien
Mauborgne Sereine
Sira Sylla
Krimi Sonia
Beaudouin-Hubiere Sophie
Errante Sophie
Panonacle Sophie
Guerini Stanislas
Dupont Stella
Buchou Stéphane
Mazars Stéphane
Stéphane Travert
Stéphane Trompille
Do Stéphanie
Kerbarh Stéphanie
Rist Stéphanie
Maillard Sylvain
Charrière Sylvie
Michels Thierry
Gassilloud Thomas
Mesnier Thomas
Rudigoz Thomas
Degois Typhanie
Faure-Muntian Valéria
Gomez-Bassac Valérie
Oppelt Valérie
Petit Valérie
Thomas Valérie
Hammerer Véronique
Riotton Véronique
Thiébaut Vincent
Batut Xavier
Paluszkiewicz Xavier
Roseren Xavier
Braun-Pivet Yaël
Haury Yannick
Kerlogot Yannick
Blein Yves
Daniel Yves
Park Zivka
Béatrice Descamps
Bertrand Pancher
Charles Courson De
Christophe Naegelen
Francis Vercamer
Franck Riester
Jean-Christophe Lagarde
Jean-Luc Warsmann
De La Laure Raudière
Lise Magnier
Maina Sage
Brenier Marine
Leroy Maurice
Habib Meyer
Michel Zumkeller
Nicole Sanquer
Christophe Paul
Gomès Philippe
Philippe Vigier
Morel-À-L'Huissier Pierre
Bournazel Pierre-Yves
Auconie Sophie
Benoit Thierry
Solère Thierry
Ledoux Vincent
Becot Favennec Yannick
Jégo Yves
Alain Ramadier
Annie Genevard
Arnaud Viala
Aurélien Pradié
Bérengère Poletti
Bernard Deflesselles
Bernard Perrut
Bernard Reynès
Brigitte Kuster
Charles De La Verpillière
Claude De Ganay
Claude Goasguen
Constance Grip Le
Abad Damien
Daniel Fasquelle
David Lorion
Didier Quentin
Cinieri Dino
Bonnivard Émilie
Emmanuel Maquet
Anthoine Emmanuelle
Ciotti Éric
Diard Éric
Pauget Éric
Straumann Éric
Woerth Éric
Di Fabien Filippo
Brun Fabrice
Franck Marlin
Cornut-Gentille François
Geneviève Levy
Cherpion Gérard
Carrez Gilles
Gilles Lurton
Guillaume Larrivé
Guillaume Peltier
Guy Teissier
Boucard Ian
Isabelle Valentin
Cattin Jacques
Grelier Jean-Carles
Jean-Charles Taugourdeau
Bouchet Jean-Claude
Ferrara Jean-Jacques
Gaultier Jean-Jacques
Jean-Luc Reitzer
Jean-Marie Sermier
Door Jean-Pierre
Jean-Pierre Vigier
Jérôme Nury
Aubert Julien
Dive Julien
Laurence Trastour-Isnart
Fur Le Marc
Dubois Marianne
Martial Saddier
Maxime Minot
Michel Vialay
Michèle Tabarot
Bassire Nathalie
Forissier Nicolas
Dassault Olivier
Marleix Olivier
Patrice Verchère
Hetzel Patrick
Gosselin Philippe
Cordier Pierre
Pierre Vatin
Dumont Pierre-Henri
Raphaël Schellenberger
Reda Robin
Huyghe Sébastien
Leclerc Sébastien
Stéphane Viry
Bazin Thibault
Bazin-Malgras Valérie
Beauvais Valérie
Boyer Valérie
Lacroute Valérie
Louwagie Véronique
Descoeur Vincent
Rolland Vincent
Duby-Muller Virginie
Breton Xavier
Aude Luquet
Brahim Hammouche
Bruno Duvergé
Bruno Fuchs
Bruno Joncour
Bruno Millienne
Cyrille Isaac-Sibille
Jacquier-Laforge Élodie
Balanant Erwan
Frédéric Petit
Bannier Géraldine
Florennes Isabelle
Bourlanges Jean-Louis
Jean-Luc Lagleize
Barrot Jean-Noël
Jean-Paul Mattei
Cubertafon Jean-Pierre
Jimmy Pahun
Josy Poueyto
Benin Justine
Laurence Vichnievsky
Garcia Laurent
Fesneau Marc
Deprez-Audebert Marguerite
De Marielle Sarnez
Mathiasin Max
Laqhila Mohamed
Essayan Nadia
Elimas Nathalie
Nicolas Turquois
Gallerneau Patricia
Mignola Patrick
Berta Philippe
Bolo Philippe
Latombe Philippe
Michel-Kleisbauer Philippe
Ramos Richard
El Haïry Sarah
Sylvain Waserman
Robert Thierry
Bru Vincent
Bilde Bruno
Azerot Bruno Nestor
Emmanuelle Ménard
Collard Gilbert
Jean Lassalle
Acquaviva Jean-Félix
Aliot Louis
Ludovic Pajot
Le Marine Pen
Castellani Michel
Dupont-Aignan Nicolas
Falorni Olivier
Colombani Paul-André
Chenu Sébastien
Pinel Sylvia
Boris Vallaud
Cécile Untermaier
Christian Hutin
Beaune Christine Pires
Bouillon Christophe
David Habib
Batho Delphine
Dominique Potier
Bareigts Ericka
François Pupponi
George Pau-Langevin
Biémouret Gisèle
Garot Guillaume
Hélène Vainqueur-Christophe
Hervé Saulignac
Bricout Jean-Louis
Joaquim Pueyo
Aviragnet Joël
Dumont Laurence
Carvounas Luc
Karamanli Marietta
Dussopt Olivier
Faure Olivier
Juanico Régis
Letchimy Serge
Foll Le Stéphane
Rabault Valérie
Adrien Taquet
Agnès Bodo Firmin Le
Agnès Thill
Aina Kuric
Alain Bruneel
Alain David
Alain Perea
Alain Tourret
Albane Gaillot
Alexandra Louis
Alexandra Ardisson Valetta
Alexandre Freschi
Alexandre Holroyd
Alice Thourot
Amal-Amélia Lakrafi
Amélie De Montchalin
André Chassaigne
André Villiers
Annaïg Le Meur
Anne Blanc
Anne Brugnera
Anne Genetet
Anne-Christine Lang
Anne-France Brunet
Anne-Laure Cattelot
Anne-Laurence Petel
Annick Girardin
Annie Chapelier
Annie Vidal
Anthony Cellier
Antoine Herth
Benjamin Griveaux
Arto Satonen
Sofia Vikman
Jyrki Kasvi
Kankaanniemi Toimi
Antti Kaikkonen
Heinonen Timo
Lehtomäki Paula
Haavisto Pekka
Annika Lapintie
Mikaela Nylander
Jutta Urpilainen
Arja Juvonen
Jussi Niinistö
Mäkelä Outi
Paatero Sirpa
Paula Risikko
Essayah Sari
Grahn-Laasonen Sanni
Anneli Kiljunen
Modig Silvia
Multala Sari
Blomqvist Thomas
Anne-Mari Virolainen
Anna-Maja Henriksson
Pia Viitanen
Aino-Kaisa Pekonen
Lenita Toivakka
Sinuhe Wallinheimo
Sari Sarkomaa
Filatov Tarja
